58. Round,,1,X,2,
Assat - Espoo,2:4,2.9,4.5,2.29,20.03.2010
Hameenlinna - Pelicans,4:5 pen.,1.75,4.75,4.3,20.03.2010
Jokerit - KalPa,3:2,2.76,4.59,2.29,20.03.2010
Karpat - Lukko,4:2,2.15,4.59,2.94,20.03.2010
SaiPa - Ilves,1:5,1.6,5,4.95,20.03.2010
Tappara - Jyvaskyla,4:3 ET,2.7,4.4,2.29,20.03.2010
TPS Turku - IFK Helsinki,3:2,2.29,4.45,2.71,20.03.2010
57. Round,,1,X,2,
Espoo - Jokerit,3:1,2.2,4.3,2.9,18.03.2010
IFK Helsinki - Karpat,6:0,1.85,4.59,3.8,18.03.2010
Ilves - Hameenlinna,2:4,2.65,4.5,2.35,18.03.2010
Jyvaskyla - Assat,2:0,1.4,5.6,6.5,18.03.2010
KalPa - Tappara,3:4,1.75,4.59,4.25,18.03.2010
Lukko - SaiPa,7:3,1.8,4.59,3.78,18.03.2010
Pelicans - TPS Turku,0:3,2.75,4.5,2.2,18.03.2010
56. Round,,1,X,2,
Assat - SaiPa,3:5,2.04,4.4,2.95,16.03.2010
Espoo - IFK Helsinki,1:3,2.4,4.34,2.58,16.03.2010
Hameenlinna - KalPa,1:5,2.4,4.33,2.58,16.03.2010
Jokerit - Lukko,1:2,2,4.4,3.01,16.03.2010
Pelicans - Jyvaskyla,1:3,3.18,4.45,2.04,16.03.2010
Tappara - Ilves,4:3 ET,1.85,4.59,3.5,16.03.2010
TPS Turku - Karpat,1:2 ET,2.1,4.4,2.9,16.03.2010
55. Round,,1,X,2,
IFK Helsinki - Hameenlinna,4:1,1.85,4.5,3.7,13.03.2010
Ilves - TPS Turku,1:3,2.4,4.4,2.52,13.03.2010
Jyvaskyla - Jokerit,6:1,1.75,4.59,3.8,13.03.2010
KalPa - Espoo,2:3,1.7,4.75,4.33,13.03.2010
Karpat - Assat,2:3,1.62,4.75,5.01,13.03.2010
Lukko - Tappara,2:6,1.9,4.5,3.4,13.03.2010
SaiPa - Pelicans,4:3 pen.,2.1,4.4,2.99,13.03.2010
54. Round,,1,X,2,
Hameenlinna - Lukko,4:3,1.83,4.59,3.55,12.03.2010
Assat - KalPa,0:1,3.27,4.62,2,11.03.2010
Jokerit - TPS Turku,2:1,2.04,4.5,3.25,11.03.2010
Jyvaskyla - SaiPa,7:4,1.5,5,5.25,11.03.2010
Tappara - Pelicans,3:5,1.8,4.59,3.55,11.03.2010
Ilves - Assat,7:1,2.35,4.34,2.6,09.03.2010
Karpat - Hameenlinna,0:4,2.04,4.34,3.1,09.03.2010
53. Round,,1,X,2,
KalPa - IFK Helsinki,4:2,2.04,4.33,2.95,09.03.2010
Lukko - Espoo,0:3,1.85,4.5,3.5,09.03.2010
Pelicans - Jokerit,3:4,2.5,4.34,2.45,09.03.2010
SaiPa - Tappara,1:2,2.2,4.4,2.7,09.03.2010
TPS Turku - Jyvaskyla,2:0,2.85,4.33,2.2,09.03.2010
IFK Helsinki - Lukko,3:2,1.85,4.5,3.95,06.03.2010
52. Round,,1,X,2,
Assat - Pelicans,5:3,2.35,4.34,2.75,06.03.2010
Hameenlinna - Jyvaskyla,2:3,2.65,4.3,2.45,06.03.2010
Jokerit - SaiPa,2:3,1.75,4.7,4,06.03.2010
KalPa - Ilves,5:3,1.35,5.75,7,06.03.2010
Tappara - TPS Turku,2:3,1.85,4.5,3.6,06.03.2010
53. Round,,1,X,2,
Espoo - Karpat,3:1,2.25,4.4,2.75,05.03.2010
52. Round,,1,X,2,
Ilves - IFK Helsinki,1:4,3.6,4.59,1.83,05.03.2010
51. Round,,1,X,2,
Lukko - Assat,5:4 pen.,1.67,5.09,5.09,05.03.2010
TPS Turku - Hameenlinna,1:2,2.2,4.4,2.73,05.03.2010
Jokerit - Tappara,3:4,1.8,4.59,3.75,04.03.2010
Jyvaskyla - KalPa,2:1,1.95,4.4,3.4,04.03.2010
Pelicans - Karpat,2:5,2.29,4.4,2.6,04.03.2010
SaiPa - Espoo,2:3 ET,2.15,4.4,2.8,04.03.2010
Espoo - Pelicans,2:4,1.85,4.5,3.6,02.03.2010
IFK Helsinki - TPS Turku,3:2,1.7,4.75,4.25,02.03.2010
Ilves - Jyvaskyla,1:3,3.65,4.59,1.85,02.03.2010
Karpat - SaiPa,1:2,1.65,4.7,4.45,02.03.2010
50. Round,,1,X,2,
Assat - Tappara,1:4,2.2,4.4,2.8,02.03.2010
Hameenlinna - Jokerit,4:3,2.29,4.5,2.73,02.03.2010
KalPa - Lukko,3:2 ET,1.95,4.4,3.35,02.03.2010
Karpat - KalPa,3:2 pen.,2.35,4.33,2.65,20.02.2010
49. Round,,1,X,2,
Pelicans - Ilves,4:1,1.9,4.59,3.43,20.02.2010
SaiPa - IFK Helsinki,5:2,2.8,4.4,2.29,20.02.2010
Tappara - Hameenlinna,3:4,2.15,4.4,2.85,20.02.2010
TPS Turku - Espoo,4:3,2.2,4.4,2.8,20.02.2010
Jyvaskyla - Lukko,4:2,2.1,4.4,3.25,19.02.2010
48. Round,,1,X,2,
Assat - TPS Turku,0:1,2.04,4.5,3.15,19.02.2010
49. Round,,1,X,2,
Espoo - Jyvaskyla,3:4,2.4,4.34,2.5,18.02.2010
IFK Helsinki - Pelicans,4:2,1.57,5,4.93,18.02.2010
Ilves - Jokerit,1:4,2.65,4.4,2.29,18.02.2010
Karpat - Tappara,4:2,1.9,4.59,3.5,18.02.2010
48. Round,,1,X,2,
