54. Round,,1,X,2,
Assat - Ilves,4:8,2.5,5,1.7,19.03.2000
Espoo - Lukko,1:2,2.1,4.7,2.1,19.03.2000
Jokerit - Jyvaskyla,6:3,1.3,5,4.5,19.03.2000
Pelicans - Hameenlinna,4:6,4.5,5,1.35,19.03.2000
SaiPa - IFK Helsinki,1:2,1.65,5,2.7,19.03.2000
Tappara - TPS Turku,1:1 ET,2,4.7,2.2,19.03.2000
53. Round,,1,X,2,
Hameenlinna - Assat,6:2,1.35,5.25,5.5,18.03.2000
IFK Helsinki - Pelicans,1:1 ET,1.27,6,6.25,18.03.2000
Ilves - SaiPa,3:1,1.9,4.7,2.7,18.03.2000
Jyvaskyla - Espoo,1:2,2.65,4.65,1.9,18.03.2000
Lukko - Tappara,3:2 ET,2.2,4.65,2.35,18.03.2000
TPS Turku - Jokerit,8:2,1.62,4.8,3.6,18.03.2000
52. Round,,1,X,2,
Hameenlinna - Ilves,5:2,1.5,4.9,4,16.03.2000
IFK Helsinki - Assat,2:2 ET,1.42,5,4.8,16.03.2000
Lukko - Jyvaskyla,5:2,1.42,5,4.8,16.03.2000
Pelicans - SaiPa,0:2,3.35,4.8,1.65,16.03.2000
Tappara - Jokerit,2:1,1.95,4.65,2.6,16.03.2000
Espoo - TPS Turku,1:2,2.65,4.75,1.9,14.03.2000
,,1,X,2,
Jokerit - Lukko,3:3 ET,1.65,4.84,3.5,14.03.2000
51. Round,,1,X,2,
Assat - Pelicans,3:4,1.46,5,4.5,12.03.2000
Ilves - IFK Helsinki,3:3 ET,2.2,4.65,2.25,11.03.2000
Jokerit - Espoo,5:1,1.6,4.8,3.5,11.03.2000
Jyvaskyla - Tappara,0:4,2.6,4.59,2,11.03.2000
SaiPa - Hameenlinna,1:6,2.4,4.59,2.1,11.03.2000
TPS Turku - Lukko,7:1,1.5,4.84,4.2,11.03.2000
50. Round,,1,X,2,
Espoo - Hameenlinna,2:7,2.25,4.59,2.29,09.03.2000
IFK Helsinki - Tappara,2:5,2.1,4.65,2.6,09.03.2000
Ilves - TPS Turku,0:4,2.5,4.75,1.95,09.03.2000
Jyvaskyla - Assat,3:4 ET,1.7,4.84,2.85,09.03.2000
Lukko - Pelicans,2:0,1.25,6.25,6.5,09.03.2000
SaiPa - Jokerit,2:2 ET,2.15,4.65,2.29,09.03.2000
49. Round,,1,X,2,
Pelicans - Ilves,1:3,2.8,4.84,1.75,07.03.2000
48. Round,,1,X,2,
IFK Helsinki - Jokerit,3:1,2.35,4.65,2.35,05.03.2000
49. Round,,1,X,2,
Assat - SaiPa,2:4,2.1,4.65,2.5,04.03.2000
Hameenlinna - IFK Helsinki,3:3 ET,1.85,4.75,2.95,04.03.2000
Tappara - Espoo,4:7,1.55,5,4,04.03.2000
TPS Turku - Jyvaskyla,10:1,1.3,6,6.1,04.03.2000
48. Round,,1,X,2,
Assat - Lukko,3:4,2.29,4.65,2.25,02.03.2000
Hameenlinna - TPS Turku,3:2,2.45,4.7,2.25,02.03.2000
Ilves - Tappara,3:3 ET,2.35,4.65,2.2,02.03.2000
Pelicans - Jyvaskyla,4:4 ET,2.75,4.75,1.9,02.03.2000
SaiPa - Espoo,5:2,2.04,4.59,2.54,27.02.2000
47. Round,,1,X,2,
Espoo - Pelicans,8:2,1.35,5.5,6,26.02.2000
Jokerit - Ilves,4:4 ET,1.45,5,5,26.02.2000
Jyvaskyla - SaiPa,0:2,1.85,4.75,2.9,26.02.2000
Lukko - IFK Helsinki,3:2,1.9,4.7,2.7,26.02.2000
Tappara - Hameenlinna,5:2,1.9,4.7,2.7,26.02.2000
TPS Turku - Assat,6:2,1.3,5.5,6,26.02.2000
46. Round,,1,X,2,
Assat - Espoo,2:2 ET,2.04,4.65,2.54,24.02.2000
Hameenlinna - Jokerit,0:3,2,4.65,2.6,24.02.2000
IFK Helsinki - Jyvaskyla,5:1,1.6,4.84,3.75,24.02.2000
Ilves - Lukko,3:4,2.1,4.65,2.4,24.02.2000
Pelicans - TPS Turku,2:5,4.65,5,1.4,24.02.2000
SaiPa - Tappara,4:6,2.4,4.65,2.2,24.02.2000
45. Round,,1,X,2,
Espoo - IFK Helsinki,3:4,2.04,4.65,2.4,22.02.2000
Jyvaskyla - Ilves,3:5,1.8,4.75,2.85,22.02.2000
Lukko - Hameenlinna,6:3,2.25,4.65,2.35,22.02.2000
Tappara - Pelicans,1:0,1.31,5.25,5.6,22.02.2000
TPS Turku - SaiPa,6:4,1.3,5.25,6,22.02.2000
Jokerit - Assat,3:0,1.45,5,4.8,21.02.2000
44. Round,,1,X,2,
Hameenlinna - Jyvaskyla,2:3,1.38,5.25,5.6,20.02.2000
Assat - Tappara,6:6 ET,2.5,4.65,2,19.02.2000
IFK Helsinki - TPS Turku,0:2,2.45,4.65,2.25,19.02.2000
Ilves - Espoo,5:2,2,4.65,2.65,19.02.2000
Pelicans - Jokerit,1:3,3.9,4.84,1.6,19.02.2000
SaiPa - Lukko,1:1 ET,2.25,4.65,2.29,19.02.2000
43. Round,,1,X,2,
Assat - Hameenlinna,0:4,2.65,4.65,2,17.02.2000
Espoo - Jyvaskyla,6:1,1.7,4.8,3.3,17.02.2000
