62. Round,,1,X,2,
Assat - Ilves,4:1,1.85,5.3,3.5,09.03.2003
Espoo - IFK Helsinki,3:5,2.29,5.5,2.1,09.03.2003
Jokerit - Karpat,2:3,1.89,5.09,3.7,09.03.2003
Pelicans - SaiPa,5:2,2.29,5.09,2.54,09.03.2003
Tappara - Lukko,2:1 ET,1.9,5.5,2.4,09.03.2003
TPS Turku - Hameenlinna,3:5,2.29,5.09,2.29,09.03.2003
61. Round,,1,X,2,
IFK Helsinki - Pelicans,2:4,1.31,7.75,9.99,08.03.2003
Ilves - TPS Turku,1:5,5.85,5.3,1.52,08.03.2003
Jyvaskyla - Jokerit,2:5,2.35,4.75,2.35,08.03.2003
Lukko - Espoo,1:2,2.15,4.8,2.7,08.03.2003
SaiPa - Tappara,1:4,2.77,4.75,2.15,08.03.2003
60. Round,,1,X,2,
Assat - Tappara,1:0,2.7,4.59,2.1,06.03.2003
IFK Helsinki - Lukko,3:3 ET,1.9,4.7,3,06.03.2003
Ilves - Karpat,0:3,3.5,4.7,1.75,06.03.2003
Jyvaskyla - Pelicans,5:0,1.52,4.8,4.9,06.03.2003
SaiPa - Hameenlinna,2:6,2.9,4.59,2.04,06.03.2003
TPS Turku - Jokerit,2:0,2.2,4.59,2.65,06.03.2003
59. Round,,1,X,2,
Tappara - TPS Turku,4:0,2.15,4.59,2.6,02.03.2003
Espoo - Jokerit,4:2,2.5,4.5,2.31,01.03.2003
Hameenlinna - Jyvaskyla,5:2,1.65,4.84,3.8,01.03.2003
Karpat - SaiPa,5:2,1.7,4.8,3.9,01.03.2003
Lukko - Ilves,5:4 ET,1.45,5,5.6,01.03.2003
Pelicans - Assat,3:5,2.31,4.5,2.5,01.03.2003
58. Round,,1,X,2,
Jokerit - IFK Helsinki,4:3 ET,1.85,4.8,3.25,28.02.2003
Assat - Lukko,3:2,2.85,4.7,2.1,27.02.2003
Espoo - Karpat,2:2 ET,2.04,4.7,2.7,27.02.2003
Pelicans - Hameenlinna,1:4,4,5,1.67,27.02.2003
Tappara - Ilves,2:1 ET,1.43,5.5,5.6,27.02.2003
TPS Turku - Jyvaskyla,3:4,1.85,4.7,3,27.02.2003
57. Round,,1,X,2,
Hameenlinna - Espoo,4:3,1.77,4.8,3.5,25.02.2003
IFK Helsinki - Assat,0:2,1.49,5,5.2,25.02.2003
Ilves - Pelicans,3:1,2.25,4.7,2.45,25.02.2003
Jyvaskyla - Tappara,0:5,2.25,4.7,2.5,25.02.2003
Karpat - TPS Turku,6:5 ET,2,4.75,2.7,25.02.2003
SaiPa - Jokerit,2:3,2.7,4.75,2.1,25.02.2003
56. Round,,1,X,2,
IFK Helsinki - Ilves,5:4,1.43,5,5.8,23.02.2003
Espoo - TPS Turku,3:5,2,4.7,2.91,22.02.2003
Hameenlinna - Assat,4:3 ET,1.39,6,6,22.02.2003
Lukko - Karpat,3:3 ET,2.29,4.59,2.6,22.02.2003
Pelicans - Jokerit,0:3,4.09,4.8,1.79,22.02.2003
SaiPa - Jyvaskyla,2:3,2.2,4.59,2.6,22.02.2003
55. Round,,1,X,2,
Assat - Espoo,3:2 ET,2.9,4.59,2.1,20.02.2003
Ilves - Hameenlinna,1:7,4.09,4.8,1.64,20.02.2003
Jokerit - Tappara,1:3,1.71,4.7,3.7,20.02.2003
Jyvaskyla - Lukko,0:3,1.85,4.7,3.5,20.02.2003
